"27105 Christopher Station
Kevinborough, WA 91949-7197",address,=,models.,CharField,(,max_length=,100,),address=models.CharField(max_length=100)
40398,birthdate,=,models.,IntegerField,(,,,),birthdate=models.IntegerField()
qturner@hotmail.com,mail,=,models.,EmailField,(,max_length=,100,),mail=models.EmailField(max_length=100)
Samuel Simpson,name,=,models.,CharField,(,max_length=,50,),name=models.CharField(max_length=50)
M,sex,=,models.,CharField,(,max_length=,6,),sex=models.CharField(max_length=6)
debrapeterson,username,=,models.,CharField,(,max_length=,50,),username=models.CharField(max_length=50)
18,days_since_signup,=,models.,IntegerField,(,,,),days_since_signup=models.IntegerField()
Organic Search,acquisition_channel,=,models.,CharField,(,max_length=,50,),acquisition_channel=models.CharField(max_length=50)
Marketing Director,job_title,=,models.,CharField,(,max_length=,50,),job_title=models.CharField(max_length=50)
18568,company_size,=,models.,IntegerField,(,,,),company_size=models.IntegerField()
1,completed_form,=,models.,IntegerField,(,,,),completed_form=models.IntegerField()
1,visited_pricing,=,models.,IntegerField,(,,,),visited_pricing=models.IntegerField()
0,registered_for_webinar,=,models.,IntegerField,(,,,),registered_for_webinar=models.IntegerField()
0,attended_webinar,=,models.,IntegerField,(,,,),attended_webinar=models.IntegerField()
Web & Internet,industry,=,models.,CharField,(,max_length=,50,),industry=models.CharField(max_length=50)
1,converted,=,models.,IntegerField,(,,,),converted=models.IntegerField()
1,is_manager,=,models.,IntegerField,(,,,),is_manager=models.IntegerField()
0,acquisition_channel_Cold Call,=,models.,IntegerField,(,,,),acquisition_channel_Cold Call=models.IntegerField()
0,acquisition_channel_Cold Email,=,models.,IntegerField,(,,,),acquisition_channel_Cold Email=models.IntegerField()
1,acquisition_channel_Organic Search,=,models.,IntegerField,(,,,),acquisition_channel_Organic Search=models.IntegerField()
0,acquisition_channel_Paid Leads,=,models.,IntegerField,(,,,),acquisition_channel_Paid Leads=models.IntegerField()
0,acquisition_channel_Paid Search,=,models.,IntegerField,(,,,),acquisition_channel_Paid Search=models.IntegerField()
0,company_size_1-10,=,models.,IntegerField,(,,,),company_size_1-10=models.IntegerField()
0,company_size_1000-10000,=,models.,IntegerField,(,,,),company_size_1000-10000=models.IntegerField()
0,company_size_10001+,=,models.,IntegerField,(,,,),company_size_10001+=models.IntegerField()
0,company_size_101-250,=,models.,IntegerField,(,,,),company_size_101-250=models.IntegerField()
1,company_size_11-50,=,models.,IntegerField,(,,,),company_size_11-50=models.IntegerField()
0,company_size_251-1000,=,models.,IntegerField,(,,,),company_size_251-1000=models.IntegerField()
0,company_size_51-100,=,models.,IntegerField,(,,,),company_size_51-100=models.IntegerField()
0,industry_Financial Services,=,models.,IntegerField,(,,,),industry_Financial Services=models.IntegerField()
0,industry_Furniture,=,models.,IntegerField,(,,,),industry_Furniture=models.IntegerField()
0,industry_Heavy Manufacturing,=,models.,IntegerField,(,,,),industry_Heavy Manufacturing=models.IntegerField()
0,Scandanavion Design,=,models.,IntegerField,(,,,),Scandanavion Design=models.IntegerField()
0,Transportation,=,models.,IntegerField,(,,,),Transportation=models.IntegerField()
1,Internet,=,models.,IntegerField,(,,,),Internet=models.IntegerField()
151,score,=,models.,IntegerField,(,,,),score=models.IntegerField()
